author,posted_on,comment,text
"Tracy of Jacksonville, FL",3/28/2013,,"My wife was on the phone with Comcast for well over 6 hours today and yesterday, was transferred from one rep to another, cut off twice and forwarded to a voicemail. Really stellar service, guys! I have had Comcast service for many, many years. I have had the same email for that entire time and have used the same modem and router now for the last 2-3 years without service problems. Now, it seems that when I want to move my service to a new address, no one seems to know how to fix it! I am only on now because of my iPhone and the wifi in my new building (which is painfully slow)! My wife and I operate home-based businesses and rely on the internet. I can suffer without the cable TV for a day or two, but cannot be without the net, for which they have already billed me for. We had an expedited service call with a confirmation number to have a tech come to our house today. After no show, we called again and after an hour on the phone was told that someone called and came by, but we were not there. That is simply not true. Phone records support no call and a service tech must check in with our concierge to enter the building which was not done! Poor service and dishonest too! I posted numerous complaints to their Facebook page since their corporate website is useless and this is what I got from them moments ago: ""Tracy, your FB posts have also been shared with the executives at corporate. You can also send your detailed account to the email address you used yesterday (comcast_cares@comcast.com). Just to let you know, we removed the multiple posts with the phone number listed.""So you see, they have decided to remove my posts, rather than fix the problem. Really smooth!"
"L of Us, MI",3/28/2013,,"If internet service wasn't needed, I would have said good riddance to Comcast a long time ago. But since there are very few alternatives, I will remain a hostage of terrible customer service, awful download speeds (that is understandable since I pay for the fastest speeds possible), moronic website and excuses up the gazoo. Did I mention how much I despise Comcast? And too think this is 2013 and we are still living in an industrial infrastructure. Crumbling bridges, roads or should I say potholes that pass for roads? It's time for this country to catch up with the rest of the world so that when the wind blows, we still have internet service."
"Lawrence of Atlanta, GA",3/29/2013,,"Watchathon free HBO was not honored - it's a scam to make you upgrade for 6 months. I had 2 days of HBO. When asked why I received a message about the upgrade for free week I had not received, there was no answer back. I asked to remove Free Watchathon and was told $2.99 would be billed for a service change? Is this a scam to get upgrade deal you did not request? Watch out for a real shady deal!"
"Sherry of Tupelo, MS",4/1/2013,,"My internet service stopped working on March 27. I called the 800 number and spoke to a rep. The rep did some troubleshooting and found that my modem is no longer working. The rep then told me to go to the local office and have the modem exchanged. I specifically asked the rep to make sure the local office would be able to exchange the modem. She said yes, they carry the modem in the office and would be able to exchange it. When I arrived at the local office, I was told they do not carry the modem and therefore could not exchange it. The local rep said she would put in a ticket for a technician to exchange my modem on March 28 after 3:30PM. I waited for the rep, but no one showed. Today, April 1, I called to report the incident and to reschedule a new time for a tech to exchange my modem. The CSR said the only time available is Thursday or Friday this week. I take online classes and this is my only internet service. We have had Comast service for years and think we deserve better service than what we are receiving. I am very disappointed and have been trying to reach a manager. I am getting the runaround from the CSR. I need help now!"
"Michelle of Parker, FL",4/2/2013,,"I would really like to list all of the details of everything that has gone wrong since starting service that has lead to my frustration, but it would be 10 paragraphs long! I went into my local office on 2/28 to get cable and internet. After asking, I was told they didn't currently have any packages or deals at this time. I got basic cable lineup with internet, one digital box, one converter box and modem. I was unable to get the converter box and modem working even after extensive troubleshooting with several reps. I was advised that I would need to be transferred to set up an appointment for a tech visit. I was disconnected during the transfer. The day of the appointment, the tech never arrived even though I was only told to have someone 18+ here to let the tech in. I was informed they cancelled my appointment after attempting to contact me 3 times per their policy, even though I had someone sitting in my living room waiting on them to let the tech in if they had showed up. I was informed the tech would call me by 2PM to let me know when they would arrive. At 3:15 I called back after getting no call, to be told the second ticket was cancelled and marked as resolved. Again, I was told a tech would arrive by the end of business day, only to get a call an hour later to be told it's another tech that has to come out. It would not be that day. I again got disconnected during transfer. No call back. After 5 or 6 calls to them and being disconnected or routed back to the beginning of the prompt, I was told their computer system is down. The next evening, before I could try calling again, I got an automated courtesy call to remind me of my appointment the following morning. I was glad I did not have to call back to make the appointment, but irritated that no one discussed the time frame or called back the previous night to ensure this time would work for me. The tech did not call first, which didn't bother me, but so much for their policy. I ended up having to write an email to their corporate dept and got a call back the next morning. It was obvious she did not read my email as she said she wasn't quite sure how she could help me. She gave me a $50 credit for the days I was unable to use the services. Due to computers being down, she could not upgrade my plan to the HD preferred Triple Play for $99.99 for 12 months (a plan a previous rep tried to up-sell me on that the original rep didn't offer) or reset my online my account password. She stated she would call back on Tuesday to assist me with both of these issues. And if I was charged the $80 tech visit fee, she would waive it. She did not call back. One night my modem wouldn't work, so I called in and was informed I could either go into my local office to switch it out or have a tech come out for a $30 fee. This rep reset my password, but stated only the corporate rep could waive the original tech visit fee. She did change my plan, but now it was $119.99 per month. I read off all terms the previous rep gave me, so she offered to give me two $9.99 credits per month to bring it to $99.99; offered to give me all premium channels for 3 month; waive the $20 install fee and a credit of $30 for tech fee; and stated I could keep the digital box I currently have along with the HD box the tech will bring as part of the plan. But if I wanted to keep converter box, I would be charged $1.99 per month. The tech came out 2 days later and got everything, but stated opposite. That the converter box was part of the plan, but the regular digital box was $9.99 per month. I called the CS rep while he was here to get this straight (and recorded this call). He stated I was correct, but the tech insisted he could not leave the original digital box and that I would have to go to the local office to pick one up. A few days later, I woke up and the cable was out. I called again and the automated prompt said service outage in my area. When it was still not working that night, I called in and no one knew anything about this. They couldn't get my cable working, so I stated they would have to set up another tech visit. Upon my insistence, they said I would not be charged for the visit but I would have to wait until Sunday morning. I went into the local office when I found out they were open until 1PM, Saturday, to exchange the box. I was told they were trying to retire these boxes and said this was not even a HD box, had a dent in it, and should not have been installed. I got cable working again and this time I could see the difference with actually the HD box. I saw a tech outside working on the lines. He said the tech who previously came out was supposed to have done this to improve service, but it wasn't done. He stated with tech visits, they are supposed to call. If you don't answer the door, they wait for 15 minutes then try again. If you still don't answer door or phone, they will have a CS rep make one final call before cancelling the appointment. Everything was fine for a few days until we rearranged our entertainment center and plugged everything back in to get no power on the box. A CS rep said we will have to wait until Tuesday for a tech to come out or go into the office on Monday to get another box. We realized we had not cancelled our previous tech's appointment for Sunday morning, but the rep said there's none showing any appointment for us. I gave the rep the ticket number and she said, ""Hmm.. This ticket was cancelled. It's marked as resolved,"" but couldn't tell me who did it. I said, ""Whatever. I'll wait until Monday morning and go into the local office."" Well a tech happened to be at a neighbor's house on Sunday afternoon and offered to come over and look at our box. He said the wire was bad and replaced it. After a month, I still have not gotten my pin to be able to electronically view my bill. I am not getting any of the premium channels that are part of my plan or the ones offered for the 3 months or know if my tech fees have actually been waived. All I get is attitude and treated like, ""Well I see you're getting these credits every month"" even though that is to make my plan the price it should be every month. It has been one thing after another. I am ready to write a letter to the office of the CEO."
"Malissa of Oakley, CA",4/4/2013,,"I have had endless issues with Comcast since I started using their services. The most recent and most outrageous incident occurred this month. There are many complaints that I have:First, we have complained multiple times that our internet is extremely slow and that we think it may be the modem that Comcast provided to us. They have sent technicians over and they suggested changing our router. So we bought a new router for $80 (the one they recommended) and it didn't change a thing. They refused to admit that it was the modem. Our internet would be down for days at a time! And coincidentally, when we called for a technician to come, it would start working the day before they were scheduled to come. Coincidence? I think not.Recently, our internet was down for 3 days during the time Comcast was changing to faster download speeds. So we called a tech to come out and fix the problem since they were not able to fix the problems over the phone. So the tech said that the modem (the one that Comcast provided to begin with) was not compatible with the new download speeds. What?! So he switched out the modem and tried to leave before the internet was working. So we said, ""Um, excuse me, it's not fixed."" The tech then stated something might be wrong with the router (lame excuse for not following through and completing his job). Our router works just fine; mind you, it's the brand new one we just bought. So we gave it some time to link up with the modem and finally the internet started to work!Now, prepare yourself for this one! The next bill came and there was a $50 additional charge for a tech to come out and swap out their faulty equipment. The customer service agent said that he couldn't do anything but take off $25! This is absurd! Why am I paying for your faulty equipment? This is by far the worst customer service experience I've ever had!In conclusion, Comcast has fraudulently charged me for their own defective equipment and I will be cancelling my service with them and potentially filing a lawsuit and complaint for the grief they have put me through in the past 6 months."
"Lee of Highland, MI",4/5/2013,,"I first became a Comcast customer in September of 2012. From the start, there were billing issues. The installation rep would quote one price, which I was satisfied with. When the bill came, it was much different and much higher than that quoted by the service tech. Billing issues continued for two or three months. In March of 2013, I moved to an address on the same street as where I was previously living. I was quoted a price and no explanation of billing policy was given. I have always been current on my bill and was newly enrolled in a plan that was only $10 per month more than I was paying for internet alone. I was quoted a $50 installation fee and given a $20 credit. I paid that bill. Four days later, I get a bill for $120! After one and a half hour of arguing with customer service, the rep said I need to pay $33 and change which was the pro-rated fee. Why do I still feel as if I am getting screwed? One more issue like this with Comcast and I will be looking elsewhere."
"Kathleen of Kenilworth, IL",4/6/2013,,"We pay about $325/month for internet, cable TV and telephone service from Comcast. Although we live in an older home that previously had cable service, it took over a dozen visits to our home by Comcast at the time of installation to get the service working. We finally hired an outside consultant at our own expense, who installed a booster to get our WiFi service working throughout the house. We have had problems after problems in the five years we have had ""service"" through Comcast. This week, our HD cable box/DVR failed and a technician arrived to say that Comcast was experiencing a ""shortage"" of DVR boxes, and that he would ""try"" to find us one. He left without replacing the broken box or advising us when we would receive a replacement."
"Mary of Belvdere, NJ",4/7/2013,,"I was paying the bundle price of $170 a month and now all of a sudden, I owe them $800 and something. How can this be when I pay my bill every month?"
"Lisa of Tamarac, FL",4/10/2013,,Comcast does not allow us to use the DVR we purchased a couple of years ago because of a new little box they said we had to have in order to continue service with them. The DVR cost around $300 and is not compatible with this little box. They offered no solution and now I can't record shows that I might miss and want to watch later. I would have never purchased a $300 DVR if I knew this was going to happen.
"Lance of Federal Way, WA",4/11/2013,,"I was offered by a Comcast salesman two movie channels and my Xfinity bundled service for $129.99 a month for a year. I was offered a similar deal years past by another salesman going door to door. Both times I was lied to and found out when I got the bill that I was only getting the one movie channel. And to make it even worse, it is for only three months. The new salesman told me that this mistake would not happen again, and here we are. I am feeling as though your door to door sales come with a commission for these salesmen to lie. I am going to talk to neighbors and write blogs to find out if I am the only one lied to, but I think not. When I called customer service, they were of little help. I talked to Mike ** employee number ** and the only thing he could do was let me have one channel for three months. I am sure that there are some legal issues involved if I can just find a few more people in my neighborhood or online that have also been lied to. I have been a long time customer with Comcast and have been tempted many times to go to DirecTV but have not wanted the hassle of change. But this is starting to make me really mad. "
"Judith of Shelton, WA",4/13/2013,,"I received a notice that my cable signal had an issue and I needed to set up appointment to be home when they came to fix. First appointment was for Apr. 3 between 1 and 3 pm. 3:30 I called to ask when I could expect tech and was informed he could not tell me that, just would be sometime today. I cancelled and rescheduled for April 9th between 8am and 10am and requested if possible to be the first appt. Noon came, no phone call, no repairman, no contact to this day. Cable still making little squares in signal. You are spending a lot of effort on TV to convince people to make 2 hr window appointments. What hogwash! Am I ever going to get problem fixed?"
"Mark of New Waterford, OH",4/13/2013,,"I would like everyone to know that the way that Comcast has their channel lineup is to fool you as to what you really get on your TV. The channels like HBO and Starz are showed that they are part of the lineup, but hold on. Now there is a mark like this ""^"" by the HBO HD and Starz HD. So even if you pay for HD and it shows that HBO and Starz are part of the lineup, you still have to pay separate for them. My recommendation is for people to drop Comcast, which is the only cable provider in my area. If you want cable, you pay a new price for something every year. Or they give you something free then in a year or so, send you a hidden message in the bill that says, ""Oh by the way, the free stuff... you now have to pay for"" or you don't get the channels anymore from then on out. They give you channels you have no need for, then charge you more money. The answer to this problem is to drop Comcast as I did and get Dish or DirecTV. Get more things for less money. Comcast stinks!"
"Subrata  of Naperville, IL",4/15/2013,,"I just noticed a $7 charge on my statement for a cable modem. I have had my own modem for the last 2 years and apparently after my last conversation with a Comcast agent last month, I got a charge for using my own modem. When I asked the agent today (April 15, 2013), she removed it and told me, ""It is a mistake and so we are removing it."" Nothing else! There is no guarantee that she would have removed the charge if I did not notice it today. I had to point it to her to remove the charge.I also changed my service on March 22, 2013 and was promised a monthly charge of $138.22. I got my bill today and it's $40 more. When I asked the agent what happened, she told me that she has no record of the $138! It's only that I spoke to an agent on 03/22 showing up on the record. Interestingly, I got no emails from Comcast for my service change on 03/22. Every time, in the past, they send me a note when I change services. This is very poor customer service and highly unreliable. Always check your monthly bills before you pay all those sneaky charges."
"Jill of Albany, OR",4/18/2013,,"Recently, I got an email from Comcast telling me to follow a few simple steps to update their program. I did that. Suddenly, everything dealing with the internet stopped! After trying everything I could think of, I called a computer tech to come out. After looking everything over, he told me he had been dealing with this same problem for days with lots of customers, and that it resulted from people updating their Comcast program as instructed. After trying everything else, we went to Staples to find a new wireless router, where the sales clerk told us she had been getting the same story from people suddenly having to replace their routers! I am furious! This cost me $130. I don't have to spend! I am very tempted to put this on Facebook but thought itâ€™s only fair to discuss it with you first!"
"Dale of Newman, CA",4/20/2013,,"I just found out that Comcast does not supply the battery backup for phone modem but they do not let you know that until you call in and ask where the battery is. I called and asked what if the power goes out. They said that you have to buy the battery for $35. I told them that they should let customers know this because I am disabled and need my phone. I was told, ""Too bad, buy the battery."" The modem they took out and replaced had a battery. I ordered my new modem for the new speed they told me about and needed a new modem so they replaced it. I think that Comcast should notify their customers about this. There are a lot of disabled people out there that need a phone 24 hours a day."
"Helenenue of Richmond, VA",4/24/2013,,"I had an apartment with my kidâ€™s father. He got cable put into the apartment in his name. I was giving him the money for his bill. The cable got cut off, and he moved to another resident getting Comcast at that resident in his name. I was told I am unable to receive any of Comcast services until his debt is paid. I called customer service and I am spoken to rude. I went to Comcast and a young lady told me when I spoke to her they didn't have a supervisor. For 1 day of service, I was charged $162.92."
"None of Morton Grove, IL",4/25/2013,,"Ever since we moved into the 2-flat we are in, our cable has simply not worked. Anytime we try to access the On Demand, we get the same error message for no reason which tells us to call and/or unplug and reset our box. If we do this, it takes 5-6 days for the TV to fill in. We have ""To Be Announced"" on almost every channel and it will fill in literally one hour ahead of where we presently are every two hours. We will have no movie channels. We can't watch anything because it will just say ""To Be Announced"" if we go to a channel where the TV isn't showing the title. I have called at least 70 times over the years and then I gave up. We were told something must be interfering with the signal from our box/apartment to their satellites-tower-whatever (they are about a mile from us). The tower is less than four blocks. We have had seven technicians out here this year alone. Some are beyond stupid. One guy said he'd been working there two weeks. They stand and scroll through the menu stuff, reset the box (again) and if it works, it will work for a week or two, then the same thing happens all over. Over the last two years, they have replaced the wire coming in from outside, sent us a new box (two years ago) and claimed they found various things outside on the pole/building from little tears in the wires to I don't know what. One guy got curious at me when he had to come back that same day to replace the cable from outside into our wall because after 7 hours it wasn't fixed even though he said that would be the next step, I guess for someone else to do. This week, I called starting Wednesday of last week to report that all the TV guide was out again. We had bad storms so I said maybe that was it, and yes, I had unplugged the cables, let it sit an hour, plugged it all back in and it was not helping. I told the guy not to reset the box as we had one day of TV guide filling in (so we could see three hours ahead of us on the guide) and so of course, he reset the box anyway. (I was talking to Mexico.) I said I did not want to be rude but asked if I can get a number or talk to someone in the US who does the tech stuff as I have done this to death. He said no, they had no way to do that. He said he'd schedule an appointment for me which was today, the 25th, over a week since I called. I said that was unacceptable and he said that's all he had. He connected me to billing. I was on hold for seven minutes then got disconnected. At this point, I'd been on the phone for three hours and had things to do so I gave up for the day.The next day, I called again and (got Mexico) asked for a supervisor. The guy said he couldn't give me one unless I told him what was wrong and he decided I needed one. I told him the same story. He listened and then put me on hold for 9 minutes. The supervisor got on. I had to tell him the whole thing again. He said there was nothing they could do, but he would give me an appointment sooner, on Tuesday the 24th between 1 and 3. I said fine. He said he would have one of the technicians call us the next day. (No one called again, third time promised.) I called billing and was told by the girl that they could not issue any credits until the tech came out and fixed things, then they can refund money.So we went without TV for a week. When the appointment came on Wednesday, no one showed up. I called and was told that they hadn't told us we had one for sure. He had just said he would try to get me one earlier. This is total ** as I had the guy on speakerphone and my husband also heard him make this appointment as we talked about who would take off work to be home for it. They said we had the appointment for Thursday from 3-5. So here it is Thursday and not only did I take off work 1/2 day, again, to be here but at 20 minutes to 5, Prince Telecommunications called me to tell me they were Comcast and they were really sorry but the guy was running terrifically late and would be here between 6 and 6:30 probably. I said fine and hung up on her. What are you supposed to do?This has been one week with no TV, but this same issue has gone on the entire 13 years we have lived here. We have tried just to put up with it but my nephews are staying with us and no one can ever watch TV. Yet, Comcast calls us at least once a week soliciting, trying to get us to change to their internet service even though we were told that if we have these much problems with the cable, we probably wouldn't have much luck with internet either. The last time someone came out to fix this, Comcast called us relentlessly asking us to take various phone surveys. I literally called and told them if they didn't stop, I'd file a harassment claim. I had to block two of their numbers, it was so bad. How they get away with this is beyond me. Why they are allowed to is purely politics. How many decades have people been complaining about Comcast? I am also tired of calling and getting 15 minutes of ads and menu options just to talk to a human being who can do something."
"Joydeep of Columbus, IN",4/25/2013,,"I was issued wrong charges for my Comcast bill for May 2013. When I called Comcast billing department on April 23, the initial customer service representative (CSR) could not help and forwarded me to her supervisor. Her supervisor (CSR ID**) gave me the commitment that the issue would be resolved by 3:00PM EST on April 24 and she will call me latest by 3:00PM EST on April 24. No one called. When I called on April 25 (at 11:30AM), the CSR (ID**) told me that someone will contact me later. When I asked for a supervisor, he denied to connect any supervisor. Now I am stuck and at a dead end on this issue. Comcast's local office says that I have to connect with billing department for billing issues. No one from Comcast billing department's side is ready to help in resolving the billing issue. This shows the kind of unprofessional and mismanaged operational procedures followed, and customers are left at the mercy of the situation. The statement that Comcast makes."
"Debra of Kearneysville, WV",4/26/2013,,"I returned a converter box with superficial damage to the plastic cover of the box (it warped from heat in an entertainment center). They did say I would have to pay for the damage, which I am okay with but on my next bill, it showed as ""unreturned equipment"" for $300! If I had known I would be charged for the entire box, I would have just kept it. The receipt I signed distinctly says, ""If any charge is listed above by signing this receipt, I understand the charge will be added to my account and I am legally liable to pay the charge listed above."" There was no charge listed on the receipt! Apparently, they do not know what the word ""If"" means. After two months of dealing with multiple customer service avenues, this has still not been resolved. Lesson learned: When you return any equipment to Comcast, make sure you take a picture of it; find out what the possible charge may be and keep the equipment until you have reached an agreement."
"Carrie of Richmond, VA",4/27/2013,,"Comcast has been over to my house for over 15 times to correct issues (all while me waiting for 4 hours at a time for a servicer to come for cable, internet and phone service, unpaid). I have even contacted the corporate office in the past. I called 3 weeks ago to advise that I was switching to Verizon due to them charging me $150.00 on my bill, yet they advertise $89.00 for all three package on TV. The lady I spoke to advised that she was reducing my bill back down to $99.00 for all three and sending me a free DVR for a year at no charge with free HBO for 3 months. When I got my bill, they did charge me for DVR and still over $150.00. 3 weeks later, my DVR is not working and either is my cable. When I called, they advised the DVR is broken and they want to send out a technician on Monday. I work and am missing pay for every time they have had to come out here. When I asked for a corporate number, Anne Marie (the manager) advised that she did not know it. She advised that she would have her supervisor contact me back, but couldn't give me their name or number. So I am being charged still over $150.00 a month with a broken service and being charged for services I was told were free, and that they wouldn't charge me anything besides $99.00 for everything. I am still sitting here with a broken equipment that doesn't work and a bill that is overcharged without a resolution. When I googled the corporate number, they advised that the office was closed? This company is a bait and switch. To bring broken equipment about ten times to my house, as well as overcharge me and not reimburse me for the time taken off work for me to wait for their service techs, I should be reimbursed for everything! $100.00 at lowest for every time they have come out here for me to miss pay is $1,500.00. That is a year's service for free!"
"Mr of Huntington, WV",5/1/2013,,"A Comcast tech came to my home to investigate an outage. While on the outside of my home and out of sight of myself or members of my family, the rep was working on the box and both the TVs in my home started to sizzle and smoke. My girlfriend went outside to investigate, while the rep rushed to the door, said that nothing was his fault and then left. Upon reviewing the damage, I lost 2 TVs, the washer and dryer, the stove and fridge to this incident. 24 hrs later and plenty of time spent on the phone with Comcast, they say that the rep said there was a voltage issue. With that, I contacted my electrical company to investigate. They made a few minor repairs but said the tech grounded a wire that wasn't supposed to be grounded and that was what caused the issue. So in trying to contact Comcast again, I have been confronted with not being able to reach a rep over the phone. It keeps saying my call can't be connected but I sat with a friend that has Comcast and let them go through the prompts and was able to reach a rep just fine. What do I need to do because this is flat out wrong? They shouldn't take the word of a shady tech that wouldn't stay behind to fix his mess or take the time to properly investigate what happened. My 23-mo.-old child won't play in his room by himself anymore. Anytime we walk past his room, he just repeats, ""Fire, fire, fire!"" This is inhuman and I will not rest until they fix the damage they have done."
"Amanda of Nashville, TN",5/2/2013,,"After a year of dissatisfactory service with another cable, phone & internet company, I decided I would try Comcast. I set everything up online including the Triple Play package and the installation day and time. I immediately received a confirmation email but the package details were slightly different than what I had setup so I called Comcast and they verified that I would have everything that I ordered and they even verified the installation date & time, which was a week later on April 24, 5:00-7:00 pm. The installation time came and no one showed up. At 7:00 pm, I called Comcast and had to talk to 3 different people, repeat my information and the issue 3 different times. The first 2 people were hard to understand because of the strong accent and I could barely hear the 3rd person. The last person said that she put in an expedited ticket and someone would call me at 2:30 the next afternoon. That time came and went so I called again, which resulted in talking to 3 more people! The 3rd person was in sales and she was helpful but I had to go through the steps of setting up what I wanted and another installation date. The reason no one showed up the day before was that someone at Comcast cancelled my installation on April 23rd because there was a porting issue. Did anyone bother to call me and let me know? No! So, I set up another installation date for April 30, 3:00-5:00. Yes, I had to wait another 5 days. The salesperson stated that she follows all of her orders and she would contact me if there was an issue. On April 29, I received a phone call confirming the installation date and time. On April 30, I left work early to make the appointment but no one showed up and no one called to notify me of any issues again! I called Comcast and the person said she could schedule the installation for the next day but I angrily told her no and that I wanted to know what the problem was. She put me on hold. When she came back, she said she had put in an expedited ticket and that the technician team/dept would be calling me in 30 minutes. I never heard from anyone that night or the next day including the original salesperson that supposedly follows all her orders! Today, May 2, I decided to call Comcast to find out why no one showed up. Once again, I had to talk to multiple people and repeatedly provide my information. The last person said she did not know why it happened but that the installation was still outstanding. To find out why, she would have to open a case file and the dispatch department would call me back because they were the only ones that would know why no one showed up on the correct day. I told her that I had thought Comcast would be better than my current provider but obviously they were not and I was done because no one can give a straight answer to anything. Nothing but the runaround! So she asked if I wanted to cancel my installation. I suppose they were going to show up whenever they wanted."
"Dean of Memphis, TN",5/3/2013,,"I had Comcast for over 20 years in California and when I moved to Memphis, I ordered the internet, phone and cable TV from Comcast again. I was very clear that lines would need to be run in the living room and the den. The first visit was by a man who said he only did wireless service so he hooked up the wireless for my laptop only, leaving loose wires lying on the floor at the only cable outlet in my house. He said he would put in a service call for an ""installer"" to hook up my TV and phone and PC. The appointment was for Saturday, 9 to 11 am. At 11:30 am, I received a call telling me they were overbooked so I rescheduled for Tuesday from 3 to 5 pm.At almost 5 pm, a ""repair tech"" showed up saying he did not run cable, only repaired existing service. I had to phone in for another appointment for Friday between 1 and 3 pm. This is the 4th appointment and it is now 4:45 pm and I have received no phone call that they would be late. I am convinced that Comcast in the Memphis area is too stupid to be in business. I called just now and I believe I was talking to India and was told the ""installer"" would show up but they don't know when. I suggest anyone who reads this should not use Comcast - the worst customer service I have ever experienced."
"Budhadeb of Naperville, IL",5/4/2013,,"I installed Comcast service in my Vero Beach, Florida home in February 2013 when the property was rented out. After a month when the renters left, I called Comcast to put the service for minimum charges at $39.99 per month. I then received a bill showing full charges and called Comcast about my conversation with their customer support. Comcast agents flatly denied that such charges were approved. I then asked them to put the property on seasonal hold and they agreed to do so. It has been over a month and I still continue to receive the same charges. When I called twice, nothing got taken care of in the account. Just suffering. Every time you call Comcast, it takes 40 minutes to talk to a live person. This is customer service."
"Connie of Stockton, CA",5/11/2013,,"On Tuesday, May 7, 2013 at 6:00 pm, my TV Comcast froze on ""One Moment Please."" After waiting 15 minutes, I made an attempt to call Comcast with a 15-minute wait time. The agent that I was finally connected with had me try several ways of resolving the problem to no avail. She indicated that my box would probably need to be swapped out and set me up with a Thursday appointment, between 8-10 am. She also told me to unplug the TV and that a technician would be calling me back in 45 minutes. After waiting 1 hour 15 minutes, I called Comcast back with another 15-minute wait before I was connected with an agent in South America. She had me jump through the same hoops as the first agent and after being asked for the last four numbers of my SS#, I said I needed to speak with an agent in the US. After another long wait, I was connected to an agent in the Philippines. She started the whole process again and after having her repeat the same instructions over and over, I told her I could not do this anymore (it was now 10:00pm!) and I hung up. Knowing I had a Thursday morning appointment, I decided to wait until then. Thursday morning, I called to confirm the appointment and was told that I did not have an appointment! The agent then again tried to correct the problem to no avail and scheduled an appointment for Friday, May 10 between 4-6 pm. Again, I called that day at 4:45 pm to confirm and that agent insisted on trying to resolve the issue by phone. The technician then called and arrived to correct the problem. He left my residence at approximately 7:00 pm on Friday evening. At 9:59 am Saturday morning, my TV again froze showing ""One Moment Please."" I called Comcast at 10:15am and it was 1/2 hour before I could get through again being connected to the Philippines! I immediately asked to be connected to an agent in the US because the line was static and I could not understand the agent. She wanted all my personal information and after providing this, she still wanted the last four of my SS# which I refused to provide. She then put me on hold and another agent after a 1/2 hour wait answered the phone and when asked, indicated he too was located in the Philippines. Then he told me that he is not in the department I need and another agent from the Philippines took the call. It is now 11:00 am and she assured me that a technician will be calling me back in 30 minutes! So far, I have been without a TV for 78 hours and have been on the phone for approximately 8 hours trying to resolve this problem."
"Woodrow of Florence, AL",5/11/2013,,"After moving into our new house, we decided to go with Comcast Cable; especially since the house was wired for it. We had repeated problems with the service - the internet would drop off, sometimes for days, and channels were either fuzzy or had so much static you could not watch them at all. After months of constant phone calls, waiting on repair trucks and several agents at the end who were unreasonably rude (one actually yelled and hung up on me), we changed and went with a new ISP and television service provider.We had a remaining balance left on our bill. We spoke to management about how to close the account, and asked if there could be some type of settlement/agreement that we can reach since we feel we did not receive the quality of service that allowed us to use either the television or internet more than 50% of the time. We were asked if a representative, who could take care of this, could call us back. The next day, we spoke to an agent who informed us the balance would be taken care of, and we would owe nothing. We hoped they would pro-rate the bill somehow, and we were never expecting that response.We decided recently to try the new internet after being told it was better and more reliable by a representative who came to our door promoting it. The problem now is, the balance was not altered and all record of our problems, months of trouble and wasted time is nonexistent. Since no contact was attempted, we believed that the account was taken care of since it has been 3 to 4 years, and we were contacted 2 years ago to switch back. Surely, if you owed a company trying to get your business back, they would mention an outstanding balance.On 5/11/13, Mr. ** spoke with Teresa **. Mr. ** stated a settlement of $40.85 would be applied basing this on the $122.55/mo. for 10 days of loss reported from November 2008 (continually) until February 2009; and using payment records showing 28 months out of 40 were late. This was due to discontent of poor and/or non-working service, having to go elsewhere for a stable internet connection or send emails, and had to disconnect the television service in December 2008 due to poor quality (some channels with no reception at all). We were not taken seriously until the withholding of payment occurred causing some bills to be past due. I believe we were also charged after we told them to disconnect service and had attained another provider.I told Mr. ** that I do not accept that amount. I feel 10 days does not accurately portray the ongoing problem we had started reporting in November and continued through to February, where he stated Comcast tried three times to contact us but failed; thus closing the trouble ticket. I have always returned any calls from them; however, this could occur when you have an internet phone and a properly working internet connection. He stated this was all he could authorize. We were not the only one with the same problem. Our neighbors picked up the vigil and also reported the same conditions with the same outcome. The connection was not repaired to working condition in any of our households.By contacting us and offering a credit to what they have considered as nothing more than a minor problem that does not affect them, we feel this is an insult to our name and what we stand for. As it is just one family against a large corporation, what more could we possibly do?"
"Stephen  of Sarasota, FL",5/13/2013,,I have not received my April bill. I received a past due notice. I cannot pay my bill if I did not receive one. Customer service is useless. The supervisor won't call you back.
